DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,IT,2021,143997.930,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,LT,2020,1698.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,LT,2021,1221.400,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,LU,2020,184.045,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,LU,2021,173.127,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,LV,2020,2075.163,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,LV,2021,2128.384,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,MD,2020,851.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,ME,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,MK,2020,1144.625,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,MT,2020,1840.580,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,MT,2021,1906.950,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,NL,2020,72550.652,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,NL,2021,56660.449,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,NO,2020,1600.029,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,PL,2020,17287.546,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,PL,2021,15823.706,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,PT,2020,17599.163,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,PT,2021,15573.850,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,RO,2020,9459.603,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,RO,2021,9907.009,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,RS,2020,511.705,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,SE,2020,97.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,SE,2021,282.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,SI,2020,580.248,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,SI,2021,521.305,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,SK,2020,3567.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,SK,2021,4366.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,TR,2020,70931.333,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,UA,2020,14194.800,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,G3000,GWH,XK,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,AL,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,AT,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,AT,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,BA,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,BE,2020,34434.700,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,BE,2021,50326.200,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,BG,2020,16625.765,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,BG,2021,16486.894,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,CY,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,CY,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,CZ,2020,30043.280,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,CZ,2021,30731.180,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,DE,2020,64382.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,DE,2021,69130.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,N900H,GWH,DK,2020,0.000,
